"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 10 16:07:52 CST 2020","Thu Dec 10 16:07:52 CST 2020","4","","Testsuite","Suite1","","","TC002",""
"passed","Thu Dec 10 16:07:52 CST 2020","Thu Dec 10 16:07:52 CST 2020","4","","Testsuite","Suite1","","","TC001",""
